subject,country,country_name,lottery,z1,z2,p1,ce
2151,21,Poland,24,-10.0,0.0,0.5,-5.75
2151,21,Poland,25,-20.0,0.0,0.5,-10.75
2151,21,Poland,26,-20.0,-5.0,0.5,-10.25
2151,21,Poland,27,-20.0,-10.0,0.5,-12.25
2151,21,Poland,28,-20.0,0.0,0.125,-1.75
2151,21,Poland,29,-20.0,-5.0,0.125,-6.25
2151,21,Poland,30,-20.0,0.0,0.25,-4.75
2151,21,Poland,31,-20.0,0.0,0.375,-4.75
2151,21,Poland,32,-20.0,0.0,0.625,-13.75
2151,21,Poland,33,-20.0,0.0,0.75,-13.25
2151,21,Poland,34,-20.0,0.0,0.875,-16.75
2151,21,Poland,35,-20.0,-5.0,0.875,-11.25
2151,21,Poland,44,20.0,0.0,0.5,12.75
2152,21,Poland,1,5.0,0.0,0.5,2.25
2152,21,Poland,2,10.0,0.0,0.5,4.75
2152,21,Poland,3,20.0,0.0,0.5,8.25
2152,21,Poland,4,30.0,0.0,0.5,12.25
2152,21,Poland,5,30.0,10.0,0.5,29.75
2152,21,Poland,6,30.0,20.0,0.5,27.25
2152,21,Poland,7,20.0,0.0,0.125,3.75
2152,21,Poland,8,20.0,5.0,0.125,8.75
2152,21,Poland,9,20.0,0.0,0.25,4.25
2152,21,Poland,10,20.0,0.0,0.375,6.25
2152,21,Poland,11,20.0,0.0,0.625,10.25
2152,21,Poland,12,20.0,0.0,0.75,12.25
2152,21,Poland,13,20.0,0.0,0.875,12.25
2152,21,Poland,14,20.0,5.0,0.875,12.75
2152,21,Poland,23,-5.0,0.0,0.5,-2.25
2152,21,Poland,24,-10.0,0.0,0.5,-4.25
2152,21,Poland,25,-20.0,0.0,0.5,-10.25
2152,21,Poland,26,-20.0,-5.0,0.5,-8.75
2152,21,Poland,27,-20.0,-10.0,0.5,-14.25
2152,21,Poland,28,-20.0,0.0,0.125,-4.25
2152,21,Poland,29,-20.0,-5.0,0.125,-9.25
2152,21,Poland,30,-20.0,0.0,0.25,-4.25
2152,21,Poland,31,-20.0,0.0,0.375,-7.75
2152,21,Poland,32,-20.0,0.0,0.625,-10.25
2152,21,Poland,33,-20.0,0.0,0.75,-14.25
2152,21,Poland,34,-20.0,0.0,0.875,-14.25
2152,21,Poland,35,-20.0,-5.0,0.875,-12.75
2152,21,Poland,44,20.0,0.0,0.5,12.75
2153,21,Poland,1,5.0,0.0,0.5,2.25
2153,21,Poland,2,10.0,0.0,0.5,4.75
2153,21,Poland,3,20.0,0.0,0.5,7.75
2153,21,Poland,4,30.0,0.0,0.5,11.75
2153,21,Poland,5,30.0,10.0,0.5,18.75
2153,21,Poland,6,30.0,20.0,0.5,24.75
2153,21,Poland,7,20.0,0.0,0.125,4.25
2153,21,Poland,8,20.0,5.0,0.125,6.75
2153,21,Poland,9,20.0,0.0,0.25,6.25
2153,21,Poland,10,20.0,0.0,0.375,6.25
2153,21,Poland,11,20.0,0.0,0.625,10.75
2153,21,Poland,12,20.0,0.0,0.75,12.25
2153,21,Poland,13,20.0,0.0,0.875,16.75
2153,21,Poland,14,20.0,5.0,0.875,16.75
2153,21,Poland,23,-5.0,0.0,0.5,-2.75
2153,21,Poland,24,-10.0,0.0,0.5,-5.25
2153,21,Poland,25,-20.0,0.0,0.5,-10.25
2153,21,Poland,26,-20.0,-5.0,0.5,-11.25
2153,21,Poland,27,-20.0,-10.0,0.5,-14.25
2153,21,Poland,28,-20.0,0.0,0.125,-2.25
2153,21,Poland,29,-20.0,-5.0,0.125,-5.25
2153,21,Poland,30,-20.0,0.0,0.25,-2.25
2153,21,Poland,31,-20.0,0.0,0.375,-7.75
2153,21,Poland,32,-20.0,0.0,0.625,-12.75
2153,21,Poland,33,-20.0,0.0,0.75,-15.25
2153,21,Poland,34,-20.0,0.0,0.875,-15.75
2153,21,Poland,35,-20.0,-5.0,0.875,-14.75
2153,21,Poland,44,20.0,0.0,0.5,9.75
2154,21,Poland,1,5.0,0.0,0.5,2.25
2154,21,Poland,2,10.0,0.0,0.5,6.25
2154,21,Poland,3,20.0,0.0,0.5,9.25
2154,21,Poland,4,30.0,0.0,0.5,12.25
2154,21,Poland,5,30.0,10.0,0.5,10.25
2154,21,Poland,6,30.0,20.0,0.5,20.25
2154,21,Poland,7,20.0,0.0,0.125,4.75
2154,21,Poland,8,20.0,5.0,0.125,19.75
2154,21,Poland,9,20.0,0.0,0.25,10.75
2154,21,Poland,10,20.0,0.0,0.375,10.75
2154,21,Poland,11,20.0,0.0,0.625,9.25
2154,21,Poland,12,20.0,0.0,0.75,19.75
2154,21,Poland,13,20.0,0.0,0.875,19.75
2154,21,Poland,14,20.0,5.0,0.875,19.75
2154,21,Poland,23,-5.0,0.0,0.5,-2.25
2154,21,Poland,24,-10.0,0.0,0.5,-4.25
2154,21,Poland,25,-20.0,0.0,0.5,-9.25
2154,21,Poland,26,-20.0,-5.0,0.5,-10.75
2154,21,Poland,27,-20.0,-10.0,0.5,-13.75
2154,21,Poland,28,-20.0,0.0,0.125,-3.25
2154,21,Poland,29,-20.0,-5.0,0.125,-8.25
2154,21,Poland,30,-20.0,0.0,0.25,-4.75
2154,21,Poland,31,-20.0,0.0,0.375,-6.75
2154,21,Poland,32,-20.0,0.0,0.625,-13.25
2154,21,Poland,33,-20.0,0.0,0.75,-17.75
2154,21,Poland,34,-20.0,0.0,0.875,-19.75
2154,21,Poland,35,-20.0,-5.0,0.875,-19.25
2154,21,Poland,44,20.0,0.0,0.5,14.75
2155,21,Poland,1,5.0,0.0,0.5,2.25
2155,21,Poland,2,10.0,0.0,0.5,4.25
2155,21,Poland,3,20.0,0.0,0.5,8.25
2155,21,Poland,4,30.0,0.0,0.5,12.25
2155,21,Poland,5,30.0,10.0,0.5,19.75
2155,21,Poland,6,30.0,20.0,0.5,24.75
2155,21,Poland,7,20.0,0.0,0.125,2.25
2155,21,Poland,8,20.0,5.0,0.125,7.25
2155,21,Poland,9,20.0,0.0,0.25,4.75
2155,21,Poland,10,20.0,0.0,0.375,7.25
2155,21,Poland,11,20.0,0.0,0.625,12.25
2155,21,Poland,12,20.0,0.0,0.75,14.75
2155,21,Poland,13,20.0,0.0,0.875,17.25
2155,21,Poland,14,20.0,5.0,0.875,18.25
2155,21,Poland,23,-5.0,0.0,0.5,-2.75
2155,21,Poland,24,-10.0,0.0,0.5,-5.25
2155,21,Poland,25,-20.0,0.0,0.5,-10.25
2155,21,Poland,26,-20.0,-5.0,0.5,-12.75
2155,21,Poland,27,-20.0,-10.0,0.5,-15.25
2155,21,Poland,28,-20.0,0.0,0.125,-2.75
2155,21,Poland,29,-20.0,-5.0,0.125,-7.75
2155,21,Poland,30,-20.0,0.0,0.25,-5.25
2155,21,Poland,31,-20.0,0.0,0.375,-7.75
2155,21,Poland,32,-20.0,0.0,0.625,-12.75
2155,21,Poland,33,-20.0,0.0,0.75,-15.25
2155,21,Poland,34,-20.0,0.0,0.875,-17.75
2155,21,Poland,35,-20.0,-5.0,0.875,-15.75
2155,21,Poland,44,20.0,0.0,0.5,15.75
2156,21,Poland,1,5.0,0.0,0.5,2.75
2156,21,Poland,2,10.0,0.0,0.5,4.75
2156,21,Poland,3,20.0,0.0,0.5,9.75
2156,21,Poland,4,30.0,0.0,0.5,14.75
2156,21,Poland,5,30.0,10.0,0.5,19.75
2156,21,Poland,6,30.0,20.0,0.5,24.75
2156,21,Poland,7,20.0,0.0,0.125,2.25
2156,21,Poland,8,20.0,5.0,0.125,5.25
2156,21,Poland,9,20.0,0.0,0.25,4.75
2156,21,Poland,10,20.0,0.0,0.375,7.25
2156,21,Poland,11,20.0,0.0,0.625,12.25
2156,21,Poland,12,20.0,0.0,0.75,14.75
2156,21,Poland,13,20.0,0.0,0.875,19.75
2156,21,Poland,14,20.0,5.0,0.875,17.75
2156,21,Poland,23,-5.0,0.0,0.5,-2.75
2156,21,Poland,24,-10.0,0.0,0.5,-5.25
2156,21,Poland,25,-20.0,0.0,0.5,-10.25
2156,21,Poland,26,-20.0,-5.0,0.5,-15.25
2156,21,Poland,27,-20.0,-10.0,0.5,-15.25
2156,21,Poland,28,-20.0,0.0,0.125,-2.75
2156,21,Poland,29,-20.0,-5.0,0.125,-8.75
2156,21,Poland,30,-20.0,0.0,0.25,-5.25
2156,21,Poland,31,-20.0,0.0,0.375,-7.75
2156,21,Poland,32,-20.0,0.0,0.625,-12.75
2156,21,Poland,33,-20.0,0.0,0.75,-15.25
2156,21,Poland,34,-20.0,0.0,0.875,-17.75
2156,21,Poland,35,-20.0,-5.0,0.875,-18.75
