subject,country,country_name,lottery,z1,z2,p1,ce
2240,22,Russia,24,-10.0,0.0,0.5,-6.25
2240,22,Russia,25,-20.0,0.0,0.5,-13.25
2240,22,Russia,26,-20.0,-5.0,0.5,-11.75
2240,22,Russia,27,-20.0,-10.0,0.5,-15.25
2240,22,Russia,28,-20.0,0.0,0.125,-6.25
2240,22,Russia,29,-20.0,-5.0,0.125,-9.75
2240,22,Russia,30,-20.0,0.0,0.25,-7.75
2240,22,Russia,31,-20.0,0.0,0.375,-12.75
2240,22,Russia,32,-20.0,0.0,0.625,-15.25
2240,22,Russia,33,-20.0,0.0,0.75,-15.25
2240,22,Russia,34,-20.0,0.0,0.875,-16.75
2240,22,Russia,35,-20.0,-5.0,0.875,-17.25
2240,22,Russia,44,20.0,0.0,0.5,8.25
2241,22,Russia,1,5.0,0.0,0.5,2.75
2241,22,Russia,2,10.0,0.0,0.5,3.75
2241,22,Russia,3,20.0,0.0,0.5,7.75
2241,22,Russia,4,30.0,0.0,0.5,11.75
2241,22,Russia,5,30.0,10.0,0.5,13.75
2241,22,Russia,6,30.0,20.0,0.5,20.25
2241,22,Russia,7,20.0,0.0,0.125,3.25
2241,22,Russia,8,20.0,5.0,0.125,5.25
2241,22,Russia,9,20.0,0.0,0.25,4.25
2241,22,Russia,10,20.0,0.0,0.375,3.75
2241,22,Russia,11,20.0,0.0,0.625,6.25
2241,22,Russia,12,20.0,0.0,0.75,7.25
2241,22,Russia,13,20.0,0.0,0.875,11.75
2241,22,Russia,14,20.0,5.0,0.875,11.25
2241,22,Russia,23,-5.0,0.0,0.5,-2.25
2241,22,Russia,24,-10.0,0.0,0.5,-4.25
2241,22,Russia,25,-20.0,0.0,0.5,-11.75
2241,22,Russia,26,-20.0,-5.0,0.5,-12.75
2241,22,Russia,27,-20.0,-10.0,0.5,-13.75
2241,22,Russia,28,-20.0,0.0,0.125,-4.25
2241,22,Russia,29,-20.0,-5.0,0.125,-5.25
2241,22,Russia,30,-20.0,0.0,0.25,-3.75
2241,22,Russia,31,-20.0,0.0,0.375,-9.25
2241,22,Russia,32,-20.0,0.0,0.625,-12.75
2241,22,Russia,33,-20.0,0.0,0.75,-15.75
2241,22,Russia,34,-20.0,0.0,0.875,-17.25
2241,22,Russia,35,-20.0,-5.0,0.875,-17.25
2241,22,Russia,44,20.0,0.0,0.5,0.25
2242,22,Russia,1,5.0,0.0,0.5,3.25
2242,22,Russia,2,10.0,0.0,0.5,6.25
2242,22,Russia,3,20.0,0.0,0.5,11.25
2242,22,Russia,4,30.0,0.0,0.5,15.25
2242,22,Russia,5,30.0,10.0,0.5,19.25
2242,22,Russia,6,30.0,20.0,0.5,22.75
2242,22,Russia,7,20.0,0.0,0.125,5.75
2242,22,Russia,8,20.0,5.0,0.125,11.25
2242,22,Russia,9,20.0,0.0,0.25,9.25
2242,22,Russia,10,20.0,0.0,0.375,10.25
2242,22,Russia,11,20.0,0.0,0.625,12.25
2242,22,Russia,12,20.0,0.0,0.75,13.25
2242,22,Russia,13,20.0,0.0,0.875,16.25
2242,22,Russia,14,20.0,5.0,0.875,15.25
2242,22,Russia,23,-5.0,0.0,0.5,-4.25
2242,22,Russia,24,-10.0,0.0,0.5,-6.25
2242,22,Russia,25,-20.0,0.0,0.5,-9.75
2242,22,Russia,26,-20.0,-5.0,0.5,-14.75
2242,22,Russia,27,-20.0,-10.0,0.5,-15.75
2242,22,Russia,28,-20.0,0.0,0.125,-4.25
2242,22,Russia,29,-20.0,-5.0,0.125,-9.25
2242,22,Russia,30,-20.0,0.0,0.25,-6.25
2242,22,Russia,31,-20.0,0.0,0.375,-6.25
2242,22,Russia,32,-20.0,0.0,0.625,-11.75
2242,22,Russia,33,-20.0,0.0,0.75,-13.75
2242,22,Russia,34,-20.0,0.0,0.875,-15.75
2242,22,Russia,35,-20.0,-5.0,0.875,-16.75
2242,22,Russia,44,20.0,0.0,0.5,6.25
2243,22,Russia,1,5.0,0.0,0.5,3.25
2243,22,Russia,2,10.0,0.0,0.5,5.25
2243,22,Russia,3,20.0,0.0,0.5,10.25
2243,22,Russia,4,30.0,0.0,0.5,11.75
2243,22,Russia,5,30.0,10.0,0.5,15.75
2243,22,Russia,6,30.0,20.0,0.5,25.25
2243,22,Russia,7,20.0,0.0,0.125,4.25
2243,22,Russia,8,20.0,5.0,0.125,5.75
2243,22,Russia,9,20.0,0.0,0.25,5.25
2243,22,Russia,10,20.0,0.0,0.375,5.25
2243,22,Russia,11,20.0,0.0,0.625,12.25
2243,22,Russia,12,20.0,0.0,0.75,15.75
2243,22,Russia,13,20.0,0.0,0.875,18.75
2243,22,Russia,14,20.0,5.0,0.875,18.75
2243,22,Russia,23,-5.0,0.0,0.5,-2.75
2243,22,Russia,24,-10.0,0.0,0.5,-5.25
2243,22,Russia,25,-20.0,0.0,0.5,-6.25
2243,22,Russia,26,-20.0,-5.0,0.5,-12.25
2243,22,Russia,27,-20.0,-10.0,0.5,-14.75
2243,22,Russia,28,-20.0,0.0,0.125,-2.25
2243,22,Russia,29,-20.0,-5.0,0.125,-5.25
2243,22,Russia,30,-20.0,0.0,0.25,-2.25
2243,22,Russia,31,-20.0,0.0,0.375,-4.25
2243,22,Russia,32,-20.0,0.0,0.625,-12.25
2243,22,Russia,33,-20.0,0.0,0.75,-14.75
2243,22,Russia,34,-20.0,0.0,0.875,-17.25
2243,22,Russia,35,-20.0,-5.0,0.875,-17.25
2243,22,Russia,44,20.0,0.0,0.5,10.25
2244,22,Russia,1,5.0,0.0,0.5,1.75
2244,22,Russia,2,10.0,0.0,0.5,3.75
2244,22,Russia,3,20.0,0.0,0.5,7.25
2244,22,Russia,4,30.0,0.0,0.5,10.25
2244,22,Russia,5,30.0,10.0,0.5,13.25
2244,22,Russia,6,30.0,20.0,0.5,28.75
2244,22,Russia,7,20.0,0.0,0.125,6.25
2244,22,Russia,8,20.0,5.0,0.125,11.25
2244,22,Russia,9,20.0,0.0,0.25,7.25
2244,22,Russia,10,20.0,0.0,0.375,7.25
2244,22,Russia,11,20.0,0.0,0.625,8.25
2244,22,Russia,12,20.0,0.0,0.75,9.25
2244,22,Russia,13,20.0,0.0,0.875,11.25
2244,22,Russia,14,20.0,5.0,0.875,11.25
2244,22,Russia,23,-5.0,0.0,0.5,-2.75
2244,22,Russia,24,-10.0,0.0,0.5,-4.75
2244,22,Russia,25,-20.0,0.0,0.5,-13.25
2244,22,Russia,26,-20.0,-5.0,0.5,-13.75
2244,22,Russia,27,-20.0,-10.0,0.5,-14.75
2244,22,Russia,28,-20.0,0.0,0.125,-3.75
2244,22,Russia,29,-20.0,-5.0,0.125,-10.25
2244,22,Russia,30,-20.0,0.0,0.25,-7.25
2244,22,Russia,31,-20.0,0.0,0.375,-7.25
2244,22,Russia,32,-20.0,0.0,0.625,-11.25
2244,22,Russia,33,-20.0,0.0,0.75,-13.25
2244,22,Russia,34,-20.0,0.0,0.875,-13.25
2244,22,Russia,35,-20.0,-5.0,0.875,-15.25
2244,22,Russia,44,20.0,0.0,0.5,10.25
2245,22,Russia,1,5.0,0.0,0.5,2.75
2245,22,Russia,2,10.0,0.0,0.5,3.75
2245,22,Russia,3,20.0,0.0,0.5,11.25
2245,22,Russia,4,30.0,0.0,0.5,15.25
2245,22,Russia,5,30.0,10.0,0.5,15.25
2245,22,Russia,6,30.0,20.0,0.5,22.75
2245,22,Russia,7,20.0,0.0,0.125,3.75
2245,22,Russia,8,20.0,5.0,0.125,5.25
2245,22,Russia,9,20.0,0.0,0.25,3.75
2245,22,Russia,10,20.0,0.0,0.375,6.25
2245,22,Russia,11,20.0,0.0,0.625,11.25
2245,22,Russia,12,20.0,0.0,0.75,11.25
2245,22,Russia,13,20.0,0.0,0.875,18.25
2245,22,Russia,14,20.0,5.0,0.875,19.25
2245,22,Russia,23,-5.0,0.0,0.5,-2.75
2245,22,Russia,24,-10.0,0.0,0.5,-5.75
2245,22,Russia,25,-20.0,0.0,0.5,-7.75
2245,22,Russia,26,-20.0,-5.0,0.5,-9.75
2245,22,Russia,27,-20.0,-10.0,0.5,-11.75
2245,22,Russia,28,-20.0,0.0,0.125,-1.75
2245,22,Russia,29,-20.0,-5.0,0.125,-6.25
