subject,country,country_name,lottery,z1,z2,p1,ce
2526,26,Thailand,12,20.0,0.0,0.75,15.75
2526,26,Thailand,13,20.0,0.0,0.875,14.75
2526,26,Thailand,14,20.0,5.0,0.875,18.25
2526,26,Thailand,23,-5.0,0.0,0.5,-0.25
2526,26,Thailand,24,-10.0,0.0,0.5,-7.25
2526,26,Thailand,25,-20.0,0.0,0.5,-12.25
2526,26,Thailand,26,-20.0,-5.0,0.5,-14.75
2526,26,Thailand,27,-20.0,-10.0,0.5,-14.75
2526,26,Thailand,28,-20.0,0.0,0.125,-0.25
2526,26,Thailand,29,-20.0,-5.0,0.125,-5.25
2526,26,Thailand,30,-20.0,0.0,0.25,-9.75
2526,26,Thailand,31,-20.0,0.0,0.375,-9.75
2526,26,Thailand,32,-20.0,0.0,0.625,-12.25
2526,26,Thailand,33,-20.0,0.0,0.75,-15.75
2526,26,Thailand,34,-20.0,0.0,0.875,-15.25
2526,26,Thailand,35,-20.0,-5.0,0.875,-14.75
2526,26,Thailand,44,20.0,0.0,0.5,11.75
2527,26,Thailand,1,5.0,0.0,0.5,2.25
2527,26,Thailand,2,10.0,0.0,0.5,3.25
2527,26,Thailand,3,20.0,0.0,0.5,5.25
2527,26,Thailand,4,30.0,0.0,0.5,10.75
2527,26,Thailand,5,30.0,10.0,0.5,15.75
2527,26,Thailand,6,30.0,20.0,0.5,24.75
2527,26,Thailand,7,20.0,0.0,0.125,2.25
2527,26,Thailand,8,20.0,5.0,0.125,5.25
2527,26,Thailand,9,20.0,0.0,0.25,2.25
2527,26,Thailand,10,20.0,0.0,0.375,3.25
2527,26,Thailand,11,20.0,0.0,0.625,8.75
2527,26,Thailand,12,20.0,0.0,0.75,9.75
2527,26,Thailand,13,20.0,0.0,0.875,12.25
2527,26,Thailand,14,20.0,5.0,0.875,16.25
2527,26,Thailand,23,-5.0,0.0,0.5,-0.25
2527,26,Thailand,24,-10.0,0.0,0.5,-4.75
2527,26,Thailand,25,-20.0,0.0,0.5,-13.75
2527,26,Thailand,26,-20.0,-5.0,0.5,-12.75
2527,26,Thailand,27,-20.0,-10.0,0.5,-12.75
2527,26,Thailand,28,-20.0,0.0,0.125,-2.75
2527,26,Thailand,29,-20.0,-5.0,0.125,-10.25
2527,26,Thailand,30,-20.0,0.0,0.25,-5.25
2527,26,Thailand,31,-20.0,0.0,0.375,-9.25
2527,26,Thailand,32,-20.0,0.0,0.625,-14.75
2527,26,Thailand,33,-20.0,0.0,0.75,-17.25
2527,26,Thailand,34,-20.0,0.0,0.875,-17.75
2527,26,Thailand,35,-20.0,-5.0,0.875,-16.75
2527,26,Thailand,44,20.0,0.0,0.5,9.75
2528,26,Thailand,1,5.0,0.0,0.5,4.75
2528,26,Thailand,2,10.0,0.0,0.5,7.25
2528,26,Thailand,3,20.0,0.0,0.5,9.75
2528,26,Thailand,4,30.0,0.0,0.5,10.25
2528,26,Thailand,5,30.0,10.0,0.5,19.75
2528,26,Thailand,6,30.0,20.0,0.5,29.75
2528,26,Thailand,7,20.0,0.0,0.125,4.75
2528,26,Thailand,8,20.0,5.0,0.125,8.75
2528,26,Thailand,9,20.0,0.0,0.25,4.75
2528,26,Thailand,10,20.0,0.0,0.375,4.75
2528,26,Thailand,11,20.0,0.0,0.625,9.75
2528,26,Thailand,12,20.0,0.0,0.75,14.75
2528,26,Thailand,13,20.0,0.0,0.875,19.75
2528,26,Thailand,14,20.0,5.0,0.875,19.75
2528,26,Thailand,23,-5.0,0.0,0.5,-4.75
2528,26,Thailand,24,-10.0,0.0,0.5,-5.25
2528,26,Thailand,25,-20.0,0.0,0.5,-12.75
2528,26,Thailand,26,-20.0,-5.0,0.5,-12.75
2528,26,Thailand,27,-20.0,-10.0,0.5,-12.75
2528,26,Thailand,28,-20.0,0.0,0.125,-5.25
2528,26,Thailand,29,-20.0,-5.0,0.125,-7.25
2528,26,Thailand,30,-20.0,0.0,0.25,-7.75
2528,26,Thailand,31,-20.0,0.0,0.375,-10.25
2528,26,Thailand,32,-20.0,0.0,0.625,-13.25
2528,26,Thailand,33,-20.0,0.0,0.75,-15.25
2528,26,Thailand,34,-20.0,0.0,0.875,-17.25
2528,26,Thailand,35,-20.0,-5.0,0.875,-18.25
2528,26,Thailand,44,20.0,0.0,0.5,10.75
2529,26,Thailand,1,5.0,0.0,0.5,2.75
2529,26,Thailand,2,10.0,0.0,0.5,5.75
2529,26,Thailand,3,20.0,0.0,0.5,12.25
2529,26,Thailand,4,30.0,0.0,0.5,19.75
2529,26,Thailand,5,30.0,10.0,0.5,28.75
2529,26,Thailand,6,30.0,20.0,0.5,20.25
2529,26,Thailand,7,20.0,0.0,0.125,5.25
2529,26,Thailand,8,20.0,5.0,0.125,10.25
2529,26,Thailand,9,20.0,0.0,0.25,7.75
2529,26,Thailand,10,20.0,0.0,0.375,5.25
2529,26,Thailand,11,20.0,0.0,0.625,15.25
2529,26,Thailand,12,20.0,0.0,0.75,17.75
2529,26,Thailand,13,20.0,0.0,0.875,18.75
2529,26,Thailand,14,20.0,5.0,0.875,17.75
2529,26,Thailand,23,-5.0,0.0,0.5,-2.75
2529,26,Thailand,24,-10.0,0.0,0.5,-4.25
2529,26,Thailand,25,-20.0,0.0,0.5,-10.25
2529,26,Thailand,26,-20.0,-5.0,0.5,-10.25
2529,26,Thailand,27,-20.0,-10.0,0.5,-10.75
2529,26,Thailand,28,-20.0,0.0,0.125,-5.25
2529,26,Thailand,29,-20.0,-5.0,0.125,-5.75
2529,26,Thailand,30,-20.0,0.0,0.25,-5.25
2529,26,Thailand,31,-20.0,0.0,0.375,-5.25
2529,26,Thailand,32,-20.0,0.0,0.625,-12.75
2529,26,Thailand,33,-20.0,0.0,0.75,-17.75
2529,26,Thailand,34,-20.0,0.0,0.875,-18.25
2529,26,Thailand,35,-20.0,-5.0,0.875,-17.75
2529,26,Thailand,44,20.0,0.0,0.5,20.25
2530,26,Thailand,1,5.0,0.0,0.5,2.75
2530,26,Thailand,2,10.0,0.0,0.5,4.25
2530,26,Thailand,3,20.0,0.0,0.5,7.25
2530,26,Thailand,4,30.0,0.0,0.5,9.75
2530,26,Thailand,5,30.0,10.0,0.5,18.75
2530,26,Thailand,6,30.0,20.0,0.5,24.75
2530,26,Thailand,7,20.0,0.0,0.125,1.25
2530,26,Thailand,8,20.0,5.0,0.125,9.25
2530,26,Thailand,9,20.0,0.0,0.25,1.75
2530,26,Thailand,10,20.0,0.0,0.375,2.25
2530,26,Thailand,11,20.0,0.0,0.625,4.75
2530,26,Thailand,12,20.0,0.0,0.75,7.25
2530,26,Thailand,13,20.0,0.0,0.875,9.75
2530,26,Thailand,14,20.0,5.0,0.875,14.75
2530,26,Thailand,23,-5.0,0.0,0.5,-2.75
2530,26,Thailand,24,-10.0,0.0,0.5,-7.75
2530,26,Thailand,25,-20.0,0.0,0.5,-15.25
2530,26,Thailand,26,-20.0,-5.0,0.5,-16.25
2530,26,Thailand,27,-20.0,-10.0,0.5,-16.25
2530,26,Thailand,28,-20.0,0.0,0.125,-5.25
2530,26,Thailand,29,-20.0,-5.0,0.125,-10.25
2530,26,Thailand,30,-20.0,0.0,0.25,-7.75
2530,26,Thailand,31,-20.0,0.0,0.375,-10.25
2530,26,Thailand,32,-20.0,0.0,0.625,-15.25
2530,26,Thailand,33,-20.0,0.0,0.75,-17.75
2530,26,Thailand,34,-20.0,0.0,0.875,-18.25
2530,26,Thailand,35,-20.0,-5.0,0.875,-18.25
2530,26,Thailand,44,20.0,0.0,0.5,10.75
2531,26,Thailand,1,5.0,0.0,0.5,4.75
2531,26,Thailand,2,10.0,0.0,0.5,9.75
2531,26,Thailand,3,20.0,0.0,0.5,10.75
2531,26,Thailand,4,30.0,0.0,0.5,10.75
2531,26,Thailand,5,30.0,10.0,0.5,29.75
2531,26,Thailand,6,30.0,20.0,0.5,29.75
2531,26,Thailand,7,20.0,0.0,0.125,0.25
2531,26,Thailand,8,20.0,5.0,0.125,5.25
2531,26,Thailand,9,20.0,0.0,0.25,0.25
2531,26,Thailand,10,20.0,0.0,0.375,10.75
2531,26,Thailand,11,20.0,0.0,0.625,14.75
2531,26,Thailand,12,20.0,0.0,0.75,19.75
2531,26,Thailand,13,20.0,0.0,0.875,19.75
2531,26,Thailand,14,20.0,5.0,0.875,19.75
2531,26,Thailand,23,-5.0,0.0,0.5,-4.75
2531,26,Thailand,24,-10.0,0.0,0.5,-5.75
2531,26,Thailand,25,-20.0,0.0,0.5,-9.25
2531,26,Thailand,26,-20.0,-5.0,0.5,-9.25
2531,26,Thailand,27,-20.0,-10.0,0.5,-10.25
2531,26,Thailand,28,-20.0,0.0,0.125,-0.25
2531,26,Thailand,29,-20.0,-5.0,0.125,-5.25
2531,26,Thailand,30,-20.0,0.0,0.25,-4.25
2531,26,Thailand,31,-20.0,0.0,0.375,-4.25
2531,26,Thailand,32,-20.0,0.0,0.625,-9.25
2531,26,Thailand,33,-20.0,0.0,0.75,-9.25
2531,26,Thailand,34,-20.0,0.0,0.875,-9.25
2531,26,Thailand,35,-20.0,-5.0,0.875,-9.25
2531,26,Thailand,44,20.0,0.0,0.5,2.75
2532,26,Thailand,1,5.0,0.0,0.5,1.75
2532,26,Thailand,2,10.0,0.0,0.5,2.25
2532,26,Thailand,3,20.0,0.0,0.5,3.75
2532,26,Thailand,4,30.0,0.0,0.5,7.75
2532,26,Thailand,5,30.0,10.0,0.5,14.75
2532,26,Thailand,6,30.0,20.0,0.5,23.75
2532,26,Thailand,7,20.0,0.0,0.125,0.25
2532,26,Thailand,8,20.0,5.0,0.125,7.25
2532,26,Thailand,9,20.0,0.0,0.25,2.25
2532,26,Thailand,10,20.0,0.0,0.375,2.75
2532,26,Thailand,11,20.0,0.0,0.625,6.25
2532,26,Thailand,12,20.0,0.0,0.75,9.25
2532,26,Thailand,13,20.0,0.0,0.875,14.75
2532,26,Thailand,14,20.0,5.0,0.875,12.75
2532,26,Thailand,23,-5.0,0.0,0.5,-2.75
2532,26,Thailand,24,-10.0,0.0,0.5,-4.25
2532,26,Thailand,25,-20.0,0.0,0.5,-10.25
2532,26,Thailand,26,-20.0,-5.0,0.5,-10.25
2532,26,Thailand,27,-20.0,-10.0,0.5,-12.75
2532,26,Thailand,28,-20.0,0.0,0.125,-2.25
2532,26,Thailand,29,-20.0,-5.0,0.125,-6.75
2532,26,Thailand,30,-20.0,0.0,0.25,-2.75
2532,26,Thailand,31,-20.0,0.0,0.375,-4.75
2532,26,Thailand,32,-20.0,0.0,0.625,-11.25
2532,26,Thailand,33,-20.0,0.0,0.75,-13.75
2532,26,Thailand,34,-20.0,0.0,0.875,-16.25
2532,26,Thailand,35,-20.0,-5.0,0.875,-15.25
2532,26,Thailand,44,20.0,0.0,0.5,7.75
2533,26,Thailand,1,5.0,0.0,0.5,1.25
2533,26,Thailand,2,10.0,0.0,0.5,2.75
2533,26,Thailand,3,20.0,0.0,0.5,3.75
2533,26,Thailand,4,30.0,0.0,0.5,6.25
2533,26,Thailand,5,30.0,10.0,0.5,13.25
2533,26,Thailand,6,30.0,20.0,0.5,25.25
2533,26,Thailand,7,20.0,0.0,0.125,2.25
2533,26,Thailand,8,20.0,5.0,0.125,8.75
2533,26,Thailand,9,20.0,0.0,0.25,2.25
2533,26,Thailand,10,20.0,0.0,0.375,3.75
2533,26,Thailand,11,20.0,0.0,0.625,5.25
2533,26,Thailand,12,20.0,0.0,0.75,7.75
2533,26,Thailand,13,20.0,0.0,0.875,15.25
2533,26,Thailand,14,20.0,5.0,0.875,17.25
2533,26,Thailand,23,-5.0,0.0,0.5,-3.25
2533,26,Thailand,24,-10.0,0.0,0.5,-5.25
2533,26,Thailand,25,-20.0,0.0,0.5,-11.75
2533,26,Thailand,26,-20.0,-5.0,0.5,-10.25
2533,26,Thailand,27,-20.0,-10.0,0.5,-12.75
2533,26,Thailand,28,-20.0,0.0,0.125,-0.25
2533,26,Thailand,29,-20.0,-5.0,0.125,-5.25
2533,26,Thailand,30,-20.0,0.0,0.25,-8.75
2533,26,Thailand,31,-20.0,0.0,0.375,-10.25
2533,26,Thailand,32,-20.0,0.0,0.625,-13.25
2533,26,Thailand,33,-20.0,0.0,0.75,-17.25
2533,26,Thailand,34,-20.0,0.0,0.875,-17.75
2533,26,Thailand,35,-20.0,-5.0,0.875,-18.75
2533,26,Thailand,44,20.0,0.0,0.5,8.75
2534,26,Thailand,1,5.0,0.0,0.5,2.75
2534,26,Thailand,2,10.0,0.0,0.5,5.75
2534,26,Thailand,3,20.0,0.0,0.5,12.25
2534,26,Thailand,4,30.0,0.0,0.5,19.75
2534,26,Thailand,5,30.0,10.0,0.5,24.75
2534,26,Thailand,6,30.0,20.0,0.5,28.75
2534,26,Thailand,7,20.0,0.0,0.125,2.75
2534,26,Thailand,8,20.0,5.0,0.125,7.25
2534,26,Thailand,9,20.0,0.0,0.25,7.75
2534,26,Thailand,10,20.0,0.0,0.375,7.75
2534,26,Thailand,11,20.0,0.0,0.625,12.75
2534,26,Thailand,12,20.0,0.0,0.75,14.75
2534,26,Thailand,13,20.0,0.0,0.875,17.25
2534,26,Thailand,14,20.0,5.0,0.875,18.75
2534,26,Thailand,23,-5.0,0.0,0.5,-2.75
2534,26,Thailand,24,-10.0,0.0,0.5,-5.25
2534,26,Thailand,25,-20.0,0.0,0.5,-15.25
2534,26,Thailand,26,-20.0,-5.0,0.5,-15.25
2534,26,Thailand,27,-20.0,-10.0,0.5,-15.25
2534,26,Thailand,28,-20.0,0.0,0.125,-3.25
2534,26,Thailand,29,-20.0,-5.0,0.125,-7.75
2534,26,Thailand,30,-20.0,0.0,0.25,-5.25
2534,26,Thailand,31,-20.0,0.0,0.375,-7.75
2534,26,Thailand,32,-20.0,0.0,0.625,-12.75
2534,26,Thailand,33,-20.0,0.0,0.75,-15.25
2534,26,Thailand,34,-20.0,0.0,0.875,-17.75
2534,26,Thailand,35,-20.0,-5.0,0.875,-17.75
2534,26,Thailand,44,20.0,0.0,0.5,11.75
2535,26,Thailand,1,5.0,0.0,0.5,3.75
2535,26,Thailand,2,10.0,0.0,0.5,5.25
2535,26,Thailand,3,20.0,0.0,0.5,10.25
2535,26,Thailand,4,30.0,0.0,0.5,14.75
2535,26,Thailand,5,30.0,10.0,0.5,24.75
2535,26,Thailand,6,30.0,20.0,0.5,29.75
2535,26,Thailand,7,20.0,0.0,0.125,2.25
2535,26,Thailand,8,20.0,5.0,0.125,10.25
2535,26,Thailand,9,20.0,0.0,0.25,4.75
2535,26,Thailand,10,20.0,0.0,0.375,7.25
2535,26,Thailand,11,20.0,0.0,0.625,14.75
2535,26,Thailand,12,20.0,0.0,0.75,17.25
2535,26,Thailand,13,20.0,0.0,0.875,19.75
2535,26,Thailand,14,20.0,5.0,0.875,19.75
2535,26,Thailand,23,-5.0,0.0,0.5,-0.25
2535,26,Thailand,24,-10.0,0.0,0.5,-4.25
2535,26,Thailand,25,-20.0,0.0,0.5,-7.75
2535,26,Thailand,26,-20.0,-5.0,0.5,-10.25
2535,26,Thailand,27,-20.0,-10.0,0.5,-11.25
2535,26,Thailand,28,-20.0,0.0,0.125,-0.25
2535,26,Thailand,29,-20.0,-5.0,0.125,-5.25
2535,26,Thailand,30,-20.0,0.0,0.25,-2.75
2535,26,Thailand,31,-20.0,0.0,0.375,-5.25
2535,26,Thailand,32,-20.0,0.0,0.625,-10.25
2535,26,Thailand,33,-20.0,0.0,0.75,-15.25
2535,26,Thailand,34,-20.0,0.0,0.875,-15.25
2535,26,Thailand,35,-20.0,-5.0,0.875,-15.25
2535,26,Thailand,44,20.0,0.0,0.5,12.75
2536,26,Thailand,1,5.0,0.0,0.5,3.75
2536,26,Thailand,2,10.0,0.0,0.5,4.75
2536,26,Thailand,3,20.0,0.0,0.5,9.75
2536,26,Thailand,4,30.0,0.0,0.5,17.25
2536,26,Thailand,5,30.0,10.0,0.5,24.75
2536,26,Thailand,6,30.0,20.0,0.5,29.75
2536,26,Thailand,7,20.0,0.0,0.125,5.75
2536,26,Thailand,8,20.0,5.0,0.125,9.75
2536,26,Thailand,9,20.0,0.0,0.25,4.75
2536,26,Thailand,10,20.0,0.0,0.375,7.25
2536,26,Thailand,11,20.0,0.0,0.625,10.75
2536,26,Thailand,12,20.0,0.0,0.75,15.25
2536,26,Thailand,13,20.0,0.0,0.875,19.75
2536,26,Thailand,14,20.0,5.0,0.875,19.75
2536,26,Thailand,23,-5.0,0.0,0.5,-3.75
2536,26,Thailand,24,-10.0,0.0,0.5,-5.25
2536,26,Thailand,25,-20.0,0.0,0.5,-7.75
2536,26,Thailand,26,-20.0,-5.0,0.5,-11.25
2536,26,Thailand,27,-20.0,-10.0,0.5,-12.75
2536,26,Thailand,28,-20.0,0.0,0.125,-0.25
2536,26,Thailand,29,-20.0,-5.0,0.125,-5.25
2536,26,Thailand,30,-20.0,0.0,0.25,-0.25
2536,26,Thailand,31,-20.0,0.0,0.375,-4.75
2536,26,Thailand,32,-20.0,0.0,0.625,-15.25
2536,26,Thailand,33,-20.0,0.0,0.75,-17.75
2536,26,Thailand,34,-20.0,0.0,0.875,-19.75
2536,26,Thailand,35,-20.0,-5.0,0.875,-19.75
2536,26,Thailand,44,20.0,0.0,0.5,12.75
2537,26,Thailand,1,5.0,0.0,0.5,2.75
2537,26,Thailand,2,10.0,0.0,0.5,4.75
2537,26,Thailand,3,20.0,0.0,0.5,9.75
2537,26,Thailand,4,30.0,0.0,0.5,14.75
2537,26,Thailand,5,30.0,10.0,0.5,19.75
2537,26,Thailand,6,30.0,20.0,0.5,24.75
2537,26,Thailand,7,20.0,0.0,0.125,7.25
2537,26,Thailand,8,20.0,5.0,0.125,11.75
2537,26,Thailand,9,20.0,0.0,0.25,11.75
2537,26,Thailand,10,20.0,0.0,0.375,9.75
2537,26,Thailand,11,20.0,0.0,0.625,9.75
2537,26,Thailand,12,20.0,0.0,0.75,9.75
2537,26,Thailand,13,20.0,0.0,0.875,9.75
2537,26,Thailand,14,20.0,5.0,0.875,17.75
2537,26,Thailand,23,-5.0,0.0,0.5,-2.75
2537,26,Thailand,24,-10.0,0.0,0.5,-5.25
2537,26,Thailand,25,-20.0,0.0,0.5,-7.75
2537,26,Thailand,26,-20.0,-5.0,0.5,-10.25
2537,26,Thailand,27,-20.0,-10.0,0.5,-12.75
2537,26,Thailand,28,-20.0,0.0,0.125,-1.25
2537,26,Thailand,29,-20.0,-5.0,0.125,-6.25
2537,26,Thailand,30,-20.0,0.0,0.25,-2.75
2537,26,Thailand,31,-20.0,0.0,0.375,-2.75
2537,26,Thailand,32,-20.0,0.0,0.625,-12.75
2537,26,Thailand,33,-20.0,0.0,0.75,-15.25
2537,26,Thailand,34,-20.0,0.0,0.875,-16.25
2537,26,Thailand,35,-20.0,-5.0,0.875,-17.75
2537,26,Thailand,44,20.0,0.0,0.5,10.75
2538,26,Thailand,1,5.0,0.0,0.5,2.25
2538,26,Thailand,2,10.0,0.0,0.5,2.25
2538,26,Thailand,3,20.0,0.0,0.5,4.75
