subject,country,country_name,lottery,z1,z2,p1,ce
2446,25,Spain,24,-10.0,0.0,0.5,-5.25
2446,25,Spain,25,-20.0,0.0,0.5,-9.75
2446,25,Spain,26,-20.0,-5.0,0.5,-11.25
2446,25,Spain,27,-20.0,-10.0,0.5,-15.25
2446,25,Spain,28,-20.0,0.0,0.125,-3.25
2446,25,Spain,29,-20.0,-5.0,0.125,-7.75
2446,25,Spain,30,-20.0,0.0,0.25,-7.25
2446,25,Spain,31,-20.0,0.0,0.375,-8.75
2446,25,Spain,32,-20.0,0.0,0.625,-12.25
2446,25,Spain,33,-20.0,0.0,0.75,-15.25
2446,25,Spain,34,-20.0,0.0,0.875,-17.25
2446,25,Spain,35,-20.0,-5.0,0.875,-14.75
2446,25,Spain,44,20.0,0.0,0.5,10.75
2447,25,Spain,1,5.0,0.0,0.5,4.75
2447,25,Spain,2,10.0,0.0,0.5,5.25
2447,25,Spain,3,20.0,0.0,0.5,7.75
2447,25,Spain,4,30.0,0.0,0.5,10.25
2447,25,Spain,5,30.0,10.0,0.5,14.25
2447,25,Spain,6,30.0,20.0,0.5,20.25
2447,25,Spain,7,20.0,0.0,0.125,3.75
2447,25,Spain,8,20.0,5.0,0.125,5.75
2447,25,Spain,9,20.0,0.0,0.25,4.75
2447,25,Spain,10,20.0,0.0,0.375,5.25
2447,25,Spain,11,20.0,0.0,0.625,7.75
2447,25,Spain,12,20.0,0.0,0.75,13.25
2447,25,Spain,13,20.0,0.0,0.875,17.25
2447,25,Spain,14,20.0,5.0,0.875,18.25
2447,25,Spain,23,-5.0,0.0,0.5,-1.75
2447,25,Spain,24,-10.0,0.0,0.5,-4.75
2447,25,Spain,25,-20.0,0.0,0.5,-10.75
2447,25,Spain,26,-20.0,-5.0,0.5,-13.25
2447,25,Spain,27,-20.0,-10.0,0.5,-15.25
2447,25,Spain,28,-20.0,0.0,0.125,-3.25
2447,25,Spain,29,-20.0,-5.0,0.125,-8.25
2447,25,Spain,30,-20.0,0.0,0.25,-6.75
2447,25,Spain,31,-20.0,0.0,0.375,-8.75
2447,25,Spain,32,-20.0,0.0,0.625,-13.25
2447,25,Spain,33,-20.0,0.0,0.75,-17.25
2447,25,Spain,34,-20.0,0.0,0.875,-18.25
2447,25,Spain,35,-20.0,-5.0,0.875,-18.25
2447,25,Spain,44,20.0,0.0,0.5,5.75
2448,25,Spain,1,5.0,0.0,0.5,2.25
2448,25,Spain,2,10.0,0.0,0.5,4.75
2448,25,Spain,3,20.0,0.0,0.5,9.75
2448,25,Spain,4,30.0,0.0,0.5,14.75
2448,25,Spain,5,30.0,10.0,0.5,14.75
2448,25,Spain,6,30.0,20.0,0.5,20.25
2448,25,Spain,7,20.0,0.0,0.125,2.75
2448,25,Spain,8,20.0,5.0,0.125,9.75
2448,25,Spain,9,20.0,0.0,0.25,4.25
2448,25,Spain,10,20.0,0.0,0.375,6.25
2448,25,Spain,11,20.0,0.0,0.625,12.75
2448,25,Spain,12,20.0,0.0,0.75,15.75
2448,25,Spain,13,20.0,0.0,0.875,17.75
2448,25,Spain,14,20.0,5.0,0.875,17.75
2448,25,Spain,23,-5.0,0.0,0.5,-2.75
2448,25,Spain,24,-10.0,0.0,0.5,-5.25
2448,25,Spain,25,-20.0,0.0,0.5,-10.25
2448,25,Spain,26,-20.0,-5.0,0.5,-12.25
2448,25,Spain,27,-20.0,-10.0,0.5,-14.75
2448,25,Spain,28,-20.0,0.0,0.125,-2.25
2448,25,Spain,29,-20.0,-5.0,0.125,-7.25
2448,25,Spain,30,-20.0,0.0,0.25,-4.25
2448,25,Spain,31,-20.0,0.0,0.375,-6.25
2448,25,Spain,32,-20.0,0.0,0.625,-10.25
2448,25,Spain,33,-20.0,0.0,0.75,-15.75
2448,25,Spain,34,-20.0,0.0,0.875,-17.75
2448,25,Spain,35,-20.0,-5.0,0.875,-17.75
2448,25,Spain,44,20.0,0.0,0.5,11.75
2449,25,Spain,1,5.0,0.0,0.5,3.25
2449,25,Spain,2,10.0,0.0,0.5,4.25
2449,25,Spain,3,20.0,0.0,0.5,10.25
2449,25,Spain,4,30.0,0.0,0.5,15.75
2449,25,Spain,5,30.0,10.0,0.5,22.25
2449,25,Spain,6,30.0,20.0,0.5,21.75
2449,25,Spain,7,20.0,0.0,0.125,2.75
2449,25,Spain,8,20.0,5.0,0.125,9.75
2449,25,Spain,9,20.0,0.0,0.25,4.25
2449,25,Spain,10,20.0,0.0,0.375,6.75
2449,25,Spain,11,20.0,0.0,0.625,11.25
2449,25,Spain,12,20.0,0.0,0.75,17.25
2449,25,Spain,13,20.0,0.0,0.875,19.25
2449,25,Spain,14,20.0,5.0,0.875,19.25
2449,25,Spain,23,-5.0,0.0,0.5,-0.25
2449,25,Spain,24,-10.0,0.0,0.5,-7.25
2449,25,Spain,25,-20.0,0.0,0.5,-13.25
2449,25,Spain,26,-20.0,-5.0,0.5,-14.75
2449,25,Spain,27,-20.0,-10.0,0.5,-14.75
2449,25,Spain,28,-20.0,0.0,0.125,-17.75
2449,25,Spain,29,-20.0,-5.0,0.125,-5.25
2449,25,Spain,30,-20.0,0.0,0.25,-0.25
2449,25,Spain,31,-20.0,0.0,0.375,-8.25
2449,25,Spain,32,-20.0,0.0,0.625,-16.25
2449,25,Spain,33,-20.0,0.0,0.75,-18.75
2449,25,Spain,34,-20.0,0.0,0.875,-18.75
2449,25,Spain,35,-20.0,-5.0,0.875,-18.75
2449,25,Spain,44,20.0,0.0,0.5,10.75
2450,25,Spain,1,5.0,0.0,0.5,2.25
2450,25,Spain,2,10.0,0.0,0.5,4.25
2450,25,Spain,3,20.0,0.0,0.5,7.75
2450,25,Spain,4,30.0,0.0,0.5,12.75
2450,25,Spain,5,30.0,10.0,0.5,19.75
2450,25,Spain,6,30.0,20.0,0.5,24.75
2450,25,Spain,7,20.0,0.0,0.125,1.75
2450,25,Spain,8,20.0,5.0,0.125,6.75
2450,25,Spain,9,20.0,0.0,0.25,3.75
2450,25,Spain,10,20.0,0.0,0.375,6.75
2450,25,Spain,11,20.0,0.0,0.625,10.75
2450,25,Spain,12,20.0,0.0,0.75,13.25
2450,25,Spain,13,20.0,0.0,0.875,15.75
2450,25,Spain,14,20.0,5.0,0.875,17.25
2450,25,Spain,23,-5.0,0.0,0.5,-2.75
2450,25,Spain,24,-10.0,0.0,0.5,-5.75
2450,25,Spain,25,-20.0,0.0,0.5,-12.25
2450,25,Spain,26,-20.0,-5.0,0.5,-13.75
2450,25,Spain,27,-20.0,-10.0,0.5,-16.25
2450,25,Spain,28,-20.0,0.0,0.125,-5.25
2450,25,Spain,29,-20.0,-5.0,0.125,-8.25
2450,25,Spain,30,-20.0,0.0,0.25,-7.25
2450,25,Spain,31,-20.0,0.0,0.375,-9.25
2450,25,Spain,32,-20.0,0.0,0.625,-14.25
2450,25,Spain,33,-20.0,0.0,0.75,-16.25
2450,25,Spain,34,-20.0,0.0,0.875,-17.75
2450,25,Spain,35,-20.0,-5.0,0.875,-17.75
2450,25,Spain,44,20.0,0.0,0.5,15.75
2451,25,Spain,1,5.0,0.0,0.5,2.75
2451,25,Spain,2,10.0,0.0,0.5,5.25
2451,25,Spain,3,20.0,0.0,0.5,10.25
2451,25,Spain,4,30.0,0.0,0.5,15.25
2451,25,Spain,5,30.0,10.0,0.5,20.25
2451,25,Spain,6,30.0,20.0,0.5,25.25
2451,25,Spain,7,20.0,0.0,0.125,2.75
2451,25,Spain,8,20.0,5.0,0.125,6.75
2451,25,Spain,9,20.0,0.0,0.25,5.25
2451,25,Spain,10,20.0,0.0,0.375,7.75
2451,25,Spain,11,20.0,0.0,0.625,12.75
2451,25,Spain,12,20.0,0.0,0.75,15.25
2451,25,Spain,13,20.0,0.0,0.875,17.75
2451,25,Spain,14,20.0,5.0,0.875,18.25
2451,25,Spain,23,-5.0,0.0,0.5,-2.25
2451,25,Spain,24,-10.0,0.0,0.5,-4.75
2451,25,Spain,25,-20.0,0.0,0.5,-9.75
2451,25,Spain,26,-20.0,-5.0,0.5,-12.25
2451,25,Spain,27,-20.0,-10.0,0.5,-14.75
2451,25,Spain,28,-20.0,0.0,0.125,-2.25
2451,25,Spain,29,-20.0,-5.0,0.125,-6.75
2451,25,Spain,30,-20.0,0.0,0.25,-4.75
2451,25,Spain,31,-20.0,0.0,0.375,-7.25
2451,25,Spain,32,-20.0,0.0,0.625,-12.25
2451,25,Spain,33,-20.0,0.0,0.75,-14.75
2451,25,Spain,34,-20.0,0.0,0.875,-17.25
2451,25,Spain,35,-20.0,-5.0,0.875,-18.25
2451,25,Spain,44,20.0,0.0,0.5,2.75
2452,25,Spain,1,5.0,0.0,0.5,2.75
2452,25,Spain,2,10.0,0.0,0.5,4.25
2452,25,Spain,3,20.0,0.0,0.5,7.25
2452,25,Spain,4,30.0,0.0,0.5,10.75
2452,25,Spain,5,30.0,10.0,0.5,12.25
2452,25,Spain,6,30.0,20.0,0.5,27.25
2452,25,Spain,7,20.0,0.0,0.125,2.25
2452,25,Spain,8,20.0,5.0,0.125,9.25
2452,25,Spain,9,20.0,0.0,0.25,3.25
2452,25,Spain,10,20.0,0.0,0.375,4.25
2452,25,Spain,11,20.0,0.0,0.625,9.75
2452,25,Spain,12,20.0,0.0,0.75,12.75
2452,25,Spain,13,20.0,0.0,0.875,16.75
2452,25,Spain,14,20.0,5.0,0.875,17.75
2452,25,Spain,23,-5.0,0.0,0.5,-3.25
2452,25,Spain,24,-10.0,0.0,0.5,-5.25
2452,25,Spain,25,-20.0,0.0,0.5,-9.75
2452,25,Spain,26,-20.0,-5.0,0.5,-14.25
2452,25,Spain,27,-20.0,-10.0,0.5,-17.75
2452,25,Spain,28,-20.0,0.0,0.125,-3.25
2452,25,Spain,29,-20.0,-5.0,0.125,-11.25
2452,25,Spain,30,-20.0,0.0,0.25,-6.25
2452,25,Spain,31,-20.0,0.0,0.375,-7.75
2452,25,Spain,32,-20.0,0.0,0.625,-13.75
2452,25,Spain,33,-20.0,0.0,0.75,-17.25
2452,25,Spain,34,-20.0,0.0,0.875,-18.75
2452,25,Spain,35,-20.0,-5.0,0.875,-18.25
2452,25,Spain,44,20.0,0.0,0.5,9.75
2453,25,Spain,1,5.0,0.0,0.5,2.75
2453,25,Spain,2,10.0,0.0,0.5,4.75
2453,25,Spain,3,20.0,0.0,0.5,9.75
2453,25,Spain,4,30.0,0.0,0.5,14.75
2453,25,Spain,5,30.0,10.0,0.5,14.75
2453,25,Spain,6,30.0,20.0,0.5,22.25
2453,25,Spain,7,20.0,0.0,0.125,4.25
2453,25,Spain,8,20.0,5.0,0.125,7.75
2453,25,Spain,9,20.0,0.0,0.25,4.25
2453,25,Spain,10,20.0,0.0,0.375,5.75
2453,25,Spain,11,20.0,0.0,0.625,9.25
2453,25,Spain,12,20.0,0.0,0.75,13.75
2453,25,Spain,13,20.0,0.0,0.875,16.75
2453,25,Spain,14,20.0,5.0,0.875,17.25
2453,25,Spain,23,-5.0,0.0,0.5,-3.75
2453,25,Spain,24,-10.0,0.0,0.5,-6.75
2453,25,Spain,25,-20.0,0.0,0.5,-16.75
2453,25,Spain,26,-20.0,-5.0,0.5,-13.75
2453,25,Spain,27,-20.0,-10.0,0.5,-16.25
